Nachname;Vorname;Gender;Klasse;Birthday;Disziplin;Age
Baum;Juliane;female;;05.08.1999;Weitsprung;16
Freitag;Ralf;male;;3/23/1999;Weitsprung;16
Kappel;Marina;female;;1/21/2001;Hochsprung;15
Baum;Marko;male;;8/21/1999;Hochsprung;16
Werfel;Gabriele;female;;7/31/2001;Weitsprung;14
Holtzmann;Karin;female;;2/23/2000;Hochsprung;16
Junker;Christin;female;;5/16/1998;Weitsprung;17
Ostermann;Swen;male;;05.05.1999;Hochsprung;16
Schreiber;Alexander;male;;11.08.2002;Weitsprung;13
Nussbaum;Gabriele;female;;12.12.1999;Weitsprung;16
Beich;Klaus;male;;09.12.1998;Weitsprung;17
Mayer;Manuela;female;;09.12.2001;Weitsprung;14
Grunwald;Marie;female;;5/28/2000;Weitsprung;15
Metzger;Lisa;female;;3/16/1998;Weitsprung;17
Krüger;Philipp;male;;11/25/1998;Weitsprung;17
Osterhagen;Klaudia;female;;2/13/2003;Weitsprung;13
Austerlitz;Paul;male;;4/29/2002;Weitsprung;13
Bauer;Max;male;;11.12.1997;Weitsprung;18
Loewe;Felix;male;;5/20/2000;Hochsprung;15
Kuhn;Dirk;male;;9/23/2002;Weitsprung;13
Propst;Anna;female;;05.05.2000;Weitsprung;15
Ebersbacher;Marko;male;;10/28/2001;Weitsprung;14
Köhler;Nicole;female;;7/31/1998;Weitsprung;17
Pfeffer;Maik;male;;01.02.2003;Weitsprung;13
Durr;Anne;female;;6/23/2001;Weitsprung;14
Muller;Stephanie;female;;3/14/2001;Hochsprung;14
Burger;Jürgen;male;;9/14/1999;Hochsprung;16
Gottschalk;Maximilian;male;;6/26/1997;Weitsprung;18
Brandt;Jens;male;;8/24/1998;Hochsprung;17
Kuster;Katharina;female;;8/17/2000;Hochsprung;15
Abendroth;Florian;male;;10.09.2001;Hochsprung;14
Fried;Christian;male;;2/27/2001;Hochsprung;15
Werner;Leah;female;;07.09.1997;Hochsprung;18
Hertz;Anke;female;;03.03.2000;Weitsprung;16
Schneider;Markus;male;;01.11.1999;Weitsprung;17
Zimmer;Uta;female;;04.06.2000;Weitsprung;15
Lehmann;Marina;female;;12/27/1998;Weitsprung;17
