Nachname;Vorname;Klasse;Gender;Birthday;Hochsprung;Weitsprung;Age;Kugelstossen;;
Schultz;Franziska;;female;1/27/2003;x;;13;Hochsprung;;
Richter;Jessika;;female;8/25/2002;;x;13;Weitsprung;;
Eberhart;Jürgen;;male;07.01.1997;;x;18;Weitsprung;;
Eisenberg;Tobias;;male;01.06.2001;;x;15;Weitsprung;;
Huber;Klaus;;male;09.11.1999;;x;16;Weitsprung;;
Waechter;Juliane;;female;05.06.1997;x;;18;Hochsprung;;
Engel;Angelika;;female;4/26/2000;;x;15;Weitsprung;;
Weiß;Jörg;;male;04.01.2000;;x;15;Weitsprung;;
Beich;Johanna;;female;10.06.2001;;x;14;Weitsprung;;
Friedmann;Matthias;;male;2/24/2001;;x;15;Weitsprung;;
Ostermann;Stephan;;male;6/13/1997;x;;18;Hochsprung;;
Schmid;Johanna;;female;11.10.1998;x;;17;Hochsprung;;
Fisher;Torsten;;male;5/27/1998;;x;17;Weitsprung;;
Beckenbauer;Phillipp;;male;11.06.1997;x;;18;Hochsprung;;
Walter;Nadine;;female;07.06.2001;;x;14;Weitsprung;;
Feierabend;Niklas;;male;3/28/1998;x;;17;Hochsprung;;
Schmitt;Thomas;;male;1/15/2000;;x;16;Weitsprung;;
Propst;Patrick;;male;06.09.1998;x;;17;Hochsprung;;
Bauer;Bernd;;male;8/25/2000;;x;15;Weitsprung;;
Duerr;Dominik;;male;9/26/1998;;x;17;Weitsprung;;
Lang;Jens;;male;9/19/2000;;x;15;Weitsprung;;
Egger;Paul;;male;12.11.1997;x;;18;Hochsprung;;
Schneider;Katrin;;female;9/29/2000;;x;15;Weitsprung;;
Ostermann;Ulrich;;male;5/29/1998;x;;17;Hochsprung;;
Amsel;Leah;;female;7/21/1999;;x;16;Weitsprung;;
Foerster;Stefan;;male;6/20/2000;;x;15;Weitsprung;;
Vogt;Nicole;;female;11.01.1999;;x;16;Weitsprung;;
Nussbaum;Klaudia;;female;06.10.1997;x;;18;Hochsprung;;
Faerber;Lena;;female;01.11.2003;;x;13;Weitsprung;;
Faerber;Tom;;male;07.02.2001;;x;14;Weitsprung;;
Fenstermacher;Frank;;male;1/25/2001;;x;15;Weitsprung;;
Möller;Andreas;;male;01.06.2002;;x;14;Weitsprung;;
Brauer;Tom;;male;2/28/1998;x;;18;Hochsprung;;
Boehm;Leon;;male;11.01.1999;x;;16;Hochsprung;;
Pfeiffer;Katharina;;female;3/14/1999;x;;16;Hochsprung;;
Busch;Michelle;;female;11.12.1999;x;;16;Hochsprung;;
Ackermann;Philipp;;male;11.02.2000;;x;15;Weitsprung;;
Jaeger;Ulrike;;female;10/15/2001;;x;14;Weitsprung;;
Hertz;Michelle;;female;12/27/1999;;x;16;Weitsprung;;
Klein;Johanna;;female;3/29/1997;;x;18;Weitsprung;;
Peters;Felix;;male;11.07.1998;;x;17;Weitsprung;;
Schreiber;Melanie;;female;01.07.1998;x;;18;Hochsprung;;
Wagner;Stefanie;;female;2/26/2002;;x;14;Weitsprung;;
Freytag;Mathias;;male;04.09.2001;;x;14;Weitsprung;;
Kaufmann;Janina;;female;7/30/1998;x;;17;Hochsprung;;
Brandt;Marie;;female;07.01.1998;x;;17;Hochsprung;;
Koertig;Tim;;male;5/16/2000;x;;15;Hochsprung;;
Schuhmacher;Torsten;;male;5/13/1999;;x;16;Weitsprung;;
Eiffel;Birgit;;female;06.07.1997;;x;18;Weitsprung;;
Schroder;Dirk;;male;10/21/2001;;x;14;Weitsprung;;
Junker;Anja;;female;10.12.1999;;x;16;Weitsprung;;
Schiffer;Frank;;male;01.08.1998;x;;18;Hochsprung;;
Wechsler;Paul;;male;03.09.2000;;x;15;Weitsprung;;
Gottlieb;Yvonne;;female;4/30/2001;;x;14;Weitsprung;;
Beckenbauer;Florian;;male;8/26/1999;;x;16;Weitsprung;;
Bauer;Uwe;;male;10.10.1998;x;;17;Hochsprung;;
Pfeiffer;Dennis;;male;3/23/1997;x;;18;Hochsprung;;
Müller;Jürgen;;male;3/13/2000;;x;15;Weitsprung;;
Vogler;Katja;;female;08.04.2001;;x;14;Weitsprung;;
Weiss;Silke;;female;12.12.2001;;x;14;Weitsprung;;
Daecher;Christina;;female;2/24/1999;;x;17;Weitsprung;;
Berg;Uta;;female;3/19/2000;;x;15;Weitsprung;;
Roth;Swen;;male;9/18/2000;x;;15;Hochsprung;;
Zimmerman;Frank;;male;09.09.2000;x;;15;Hochsprung;;
Klug;Peter;;male;3/25/1998;;x;17;Weitsprung;;
Baumgaertner;Jonas;;male;4/29/2000;;x;15;Weitsprung;;
Wurfel;Tanja;;female;3/13/2001;;x;14;Weitsprung;;
Berg;Nadine;;female;08.06.2000;;x;15;Weitsprung;;
Hofmann;Sandra;;female;11/28/2001;;x;14;Weitsprung;;
Faber;Annett;;female;5/21/1998;x;;17;Hochsprung;;
Fuhrmann;Robert;;male;03.11.1999;x;;16;Hochsprung;;
Baer;Steffen;;male;3/20/1999;x;;16;Hochsprung;;
Frey;Max;;male;03.07.1997;x;;18;Hochsprung;;
Mauer;Philipp;;male;9/25/1999;;x;16;Weitsprung;;
Beyer;Sara;;female;11/28/1997;;x;18;Weitsprung;;
Schmitz;Sabrina;;female;8/18/1997;x;;18;Hochsprung;;
Bayer;Lena;;female;11/22/1997;x;;18;Hochsprung;;
Herz;Tanja;;female;04.10.2002;;x;13;Weitsprung;;
Gruenewald;Klaus;;male;11/15/1997;x;;18;Hochsprung;;
Goldschmidt;Christian;;male;6/28/1998;x;;17;Hochsprung;;
Fassbinder;Stephan;;male;4/24/1997;;x;18;Weitsprung;;
Burger;Manuela;;female;10.02.1999;;x;16;Weitsprung;;
Baer;Paul;;male;10/31/2000;x;;15;Hochsprung;;
Diederich;Jana;;female;6/23/1999;x;;16;Hochsprung;;
Mauer;Anja;;female;8/22/1999;;x;16;Weitsprung;;
Saenger;Brigitte;;female;7/15/1997;;x;18;Weitsprung;;
Krause;Ulrike;;female;10/30/2002;;x;13;Weitsprung;;
Kuefer;Sebastian;;male;12/19/1999;x;;16;Hochsprung;;
Zimmer;Lena;;female;12.03.1999;x;;16;Hochsprung;;
Bauer;Phillipp;;male;04.05.2002;;x;13;Weitsprung;;
Faber;Gabriele;;female;11.03.1998;;x;17;Weitsprung;;
Bachmeier;Mario;;male;03.04.2000;;x;16;Weitsprung;;
Koenig;Angelika;;female;7/14/2002;;x;13;Weitsprung;;
Faerber;Andreas;;male;04.12.2001;;x;14;Weitsprung;;
Lehrer;Jana;;female;04.12.2000;x;;15;Hochsprung;;
Baumgaertner;Christin;;female;03.09.2002;;x;13;Weitsprung;;
Schäfer;Erik;;male;9/16/2000;x;;15;Hochsprung;;
Freytag;Jennifer;;female;11.07.2000;;x;15;Weitsprung;;
Herman;Sabrina;;female;8/18/2000;;x;15;Weitsprung;;
Gottschalk;Uta;;female;08.08.2000;;x;15;Weitsprung;;
Saenger;Kevin;;male;8/17/2001;;x;14;Weitsprung;;
Kortig;Susanne;;female;4/24/1999;;x;16;Weitsprung;;
Fischer;Christina;;female;06.12.2001;;x;14;Weitsprung;;
Lange;Benjamin;;male;08.11.1998;;x;17;Weitsprung;;
Mauer;Manuela;;female;08.05.2002;x;;13;Hochsprung;;
Kalb;Manuela;;female;7/18/2001;;x;14;Weitsprung;;
Lang;Florian;;male;5/25/1999;x;;16;Hochsprung;;
Bader;Claudia;;female;12/27/2000;;x;15;Weitsprung;;
Scherer;Barbara;;female;10/14/2002;x;;13;Hochsprung;;
Propst;Gabriele;;female;7/19/2001;;x;14;Weitsprung;;
Papst;Bernd;;male;7/20/1997;;x;18;Weitsprung;;
Wirth;Dennis;;male;11.11.2001;;x;14;Weitsprung;;
Shuster;Klaus;;male;11.08.1999;;x;16;Weitsprung;;
Müller;Mario;;male;5/17/1998;x;;17;Hochsprung;;
Eberhardt;Bernd;;male;1/28/1999;x;;17;Hochsprung;;
Mehler;Claudia;;female;07.10.1999;;x;16;Weitsprung;;
Hertzog;Dominik;;male;01.09.2000;;x;16;Weitsprung;;
Frueh;Anne;;female;4/14/2001;;x;14;Weitsprung;;
Fleischer;Dieter;;male;05.04.1999;;x;16;Weitsprung;;
Hartmann;Lea;;female;03.02.2003;;x;13;Weitsprung;;
Vogt;Kerstin;;female;10/27/2002;;x;13;Weitsprung;;
Meier;Eric;;male;2/13/1998;x;;18;Hochsprung;;
Weissmuller;Klaus;;male;9/22/1997;x;;18;Hochsprung;;
Möller;Julia;;female;4/19/1999;;x;16;Weitsprung;;
Schreiner;Franziska;;female;5/14/1997;x;;18;Hochsprung;;
Engel;René;;male;8/23/1999;;x;16;Weitsprung;;
Hahn;Janina;;female;1/15/2001;;x;15;Weitsprung;;
Jung;David;;male;3/29/1999;;x;16;Weitsprung;;
Fried;Diana;;female;4/23/1999;;x;16;Weitsprung;;
Kuster;Stefanie;;female;8/22/2001;;x;14;Weitsprung;;
Busch;Heike;;female;4/15/1998;x;;17;Hochsprung;;
Pfaff;Julia;;female;1/28/1998;;x;18;Weitsprung;;
Eichel;Stefan;;male;4/21/2001;;x;14;Weitsprung;;
Ackermann;Dieter;;male;4/30/1999;x;;16;Hochsprung;;
Schultheiss;Jürgen;;male;9/13/2002;;x;13;Weitsprung;;
Friedmann;Katharina;;female;5/13/1998;x;;17;Hochsprung;;
Finkel;Jan;;male;4/28/1999;x;;16;Hochsprung;;
Kuhn;Silke;;female;10/16/2002;;x;13;Weitsprung;;
Neumann;Daniela;;female;12/19/1999;x;;16;Hochsprung;;
Saenger;Brigitte;;female;6/15/1998;x;;17;Hochsprung;;
Köhler;Bernd;;male;11/19/2000;;x;15;Weitsprung;;
Waechter;Jonas;;male;4/28/1999;x;;16;Hochsprung;;
Abt;Sophie;;female;9/26/2000;x;;15;Hochsprung;;
Baum;Juliane;;female;05.08.1999;;x;16;Weitsprung;;
Freitag;Ralf;;male;3/23/1999;;x;16;Weitsprung;;
Kappel;Marina;;female;1/21/2001;x;;15;Hochsprung;;
Baum;Marko;;male;8/21/1999;x;;16;Hochsprung;;
Werfel;Gabriele;;female;7/31/2001;;x;14;Weitsprung;;
Holtzmann;Karin;;female;2/23/2000;x;;16;Hochsprung;;
Junker;Christin;;female;5/16/1998;;x;17;Weitsprung;;
Ostermann;Swen;;male;05.05.1999;x;;16;Hochsprung;;
Schreiber;Alexander;;male;11.08.2002;;x;13;Weitsprung;;
Nussbaum;Gabriele;;female;12.12.1999;;x;16;Weitsprung;;
Beich;Klaus;;male;09.12.1998;;x;17;Weitsprung;;
Mayer;Manuela;;female;09.12.2001;;x;14;Weitsprung;;
Grunwald;Marie;;female;5/28/2000;;x;15;Weitsprung;;
Metzger;Lisa;;female;3/16/1998;;x;17;Weitsprung;;
Krüger;Philipp;;male;11/25/1998;;x;17;Weitsprung;;
Osterhagen;Klaudia;;female;2/13/2003;;x;13;Weitsprung;;
Austerlitz;Paul;;male;4/29/2002;;x;13;Weitsprung;;
Bauer;Max;;male;11.12.1997;;x;18;Weitsprung;;
Loewe;Felix;;male;5/20/2000;x;;15;Hochsprung;;
Kuhn;Dirk;;male;9/23/2002;;x;13;Weitsprung;;
Propst;Anna;;female;05.05.2000;;x;15;Weitsprung;;
Ebersbacher;Marko;;male;10/28/2001;;x;14;Weitsprung;;
Köhler;Nicole;;female;7/31/1998;;x;17;Weitsprung;;
Pfeffer;Maik;;male;01.02.2003;;x;13;Weitsprung;;
Durr;Anne;;female;6/23/2001;;x;14;Weitsprung;;
Muller;Stephanie;;female;3/14/2001;x;;14;Hochsprung;;
Burger;Jürgen;;male;9/14/1999;x;;16;Hochsprung;;
Gottschalk;Maximilian;;male;6/26/1997;;x;18;Weitsprung;;
Brandt;Jens;;male;8/24/1998;x;;17;Hochsprung;;
Kuster;Katharina;;female;8/17/2000;x;;15;Hochsprung;;
Abendroth;Florian;;male;10.09.2001;x;;14;Hochsprung;;
Fried;Christian;;male;2/27/2001;x;;15;Hochsprung;;
Werner;Leah;;female;07.09.1997;x;;18;Hochsprung;;
Hertz;Anke;;female;03.03.2000;;x;16;Weitsprung;;
Schneider;Markus;;male;01.11.1999;;x;17;Weitsprung;;
Zimmer;Uta;;female;04.06.2000;;x;15;Weitsprung;;
Lehmann;Marina;;female;12/27/1998;;x;17;Weitsprung;;
